品目コード,品名,MKライン,MK流量(㎏/h),FKライン,FK流量(㎏/h),KOライン,KO流量(㎏/h),"KOスライス
ノズルサイズ","KOS使用
段ボール",一般マーガリン製品,プレミアムスター製品,MK特殊品,ファットスプレッド製品,KOスライス製品,エレバール,エレバールFB　Ⅱ,FHシリーズ,ランディ,アロマゴールド,アロマーデソフト,ジェネルー,バター,バレット,リス,ＳＯＺＡ　Ｙ,ネオシュー,ｿｼｴﾙｼﾘｰｽﾞ,アレルゲン,(一般マーガリンのみ)区分,色,香料,乳化剤,塩,窒素ガス,荷姿,バッチ制限,1品種Nバッチ,特記事項
25105321830,ﾏﾙｼｴBL7(S),○,4000,○,3800,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,B,B-2-1,×,○,○,無し,×,段,×,×,
25105321870,ﾏﾙｼｴBL7(H),○,4000,○,3800,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,B,B-2-1,×,○,○,無し,×,段,×,×,
25105721830,ND10(S),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,A-3-2,○,○,○,普通,○,段,×,×,
25105721870,ND10(H),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,A-3-2,○,○,○,普通,○,段,×,×,
25106221830,ｱﾛﾏｽﾀ-(S),限定,3500,×,-,×,-,×,-,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,Pｽﾀｰ,○,○,○,普通,×,段,×,×,
25106221870,ｱﾛﾏｽﾀ-(H),限定,3500,×,-,×,-,×,-,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,Pｽﾀｰ,○,○,○,普通,×,段,×,×,
25108021830,ﾏﾙｼｴﾌﾞﾙﾀｰﾆﾕ20(10K)S,○,4000,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-1,○,○,○,無し,×,段,1,×,1日1ﾊﾞｯﾁ上限連続不可
25108021850,ﾏﾙｼｴﾌﾞﾙﾀｰﾆﾕ20(10K)M,○,4000,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-1,○,○,○,無し,×,段,1,×,1日1ﾊﾞｯﾁ上限連続不可
25109621830,ｱﾛﾏ-ﾃﾞｿﾌﾄ(S),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,B,最終,×,×,×,普通,×,段,×,×,MK or FK最終限定、前ﾊﾞｯﾁに規制はない
25109621850,ｱﾛﾏ-ﾃﾞｿﾌﾄ(M),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,B,最終,×,×,×,普通,×,段,×,×,MK or FK最終限定、前ﾊﾞｯﾁに規制はない
25109621870,ｱﾛﾏ-ﾃﾞｿﾌﾄ(H),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,B,最終,×,×,×,普通,×,段,×,×,MK or FK最終限定、前ﾊﾞｯﾁに規制はない
25109721830,ﾊｲｿﾌﾄQ-Y(S),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,初回,×,×,×,普通,○,段,×,×,次ﾊﾞｯﾁにND10・ｿﾌﾄﾌｧｲﾝ・ｿﾌﾄｽﾍﾟｼｬﾙを組めない場合洗浄
25113522040,ﾛﾘｱﾝCSK (4),○,4000,○,3800,○,4000,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,A-3-3,○,○,○,低,×,段,×,×,
